# id|once|calisan_sirasinda|ekip_sirasinda|sonra|yapilmayacak|geri_giris|saha_alanlari
AD-011|Patlama senaryosu etki alanını ve tesis enerji kaynaklarını planlayın.~İtfaiyeye verilecek proses ve kimyasal bilgi setini hazırlayın.|İlk patlamadan sonra cam, parça ve hasarlı yapıdan uzaklaşın.~İkinci olay ihtimaline karşı bölgeyi terk edip güvenli noktadan alarm verin.~Yaralı/eksik kişi ve olay konumunu 112'ye bildirin.|Olay yöneticisi yeniden patlama ve çökme etkisine göre alanı genişçe ayırsın.~Teknik ekip uzaktan güvenli izolasyonu tesis planına göre yapsın.~Profesyonel kurtarma ekibine tehlikeli madde ve son bilinen kişi konumunu iletin.|Enkaz ve delillere kontrollü erişim sağlayın.~Yapı, atmosfer ve enerji güvenliğini uzman incelemesine bağlayın.|Enkaza eğitimsiz arama için girmeyin.~Patlamanın bittiğini sessizliğe bakarak varsaymayın.|Kurtarma, yapı ve proses yetkililerinin ortak güvenli dönüş kararıyla.|patlama_etki_alani~kimyasal_envanter~uzak_izolasyon~eksik_kisi_kaydi
AD-012|Gaz vana ve algılama noktalarını işaretleyin.~Kaçak halinde güvenli dış iletişim yerini belirleyin.|Gaz kokusu/alarmında alev ve elektrikli cihaz kullanmadan uzaklaşın.~Kaçak bölgesindeki anahtar ve fişlere dokunmayın; çevredekileri sözlü uyarın.~Güvenli dış noktadan 112 ve tesisin gaz acil irtibatını arayın.|Yetkili görevli yalnız tehlikeli alana girmeden erişilebilen vanayı tesis planına göre kapatsın.~Koruma ekibi olası gaz yayılım alanını boşaltsın.~Yetkili gaz ekibi ölçüm, kaçak giderme ve güvenli havalandırmayı yönetsin.|Kaçağın nedeni ve bağlantı bütünlüğünü teknik kayda alın.~Algılama ve gaz beslemesi yeniden devreye alma testini yaptırın.|Gazı alevle aramayın.~Telefonu veya elektrik anahtarını kaçak bölgesinde işletmeyin.|Gaz işletmesi/teknik yetkili ölçüm ve onarım sonrası izin verdiğinde.|gaz_vanasi~guvenli_arama_yeri~gaz_acil_irtibat~gaz_algilama
AD-013|LPG depolama ve alçak hacim bağlantılarını kaydedin.~Tüp/tank izolasyonunu yetkili ekiple planlayın.|LPG alarmında çukur ve bodrumlardan uzaklaşın.~Kıvılcım yaratabilecek cihazları işletmeden bölgeyi boşaltın.~Güvenli yerden LPG kaynağı ve çevredeki kişi bilgisini bildirin.|Yetkili görevli sızıntıyı yalnız güvenli dış noktadan izole etsin.~Olay yöneticisi alçak hacimleri ve drenaj geçişlerini erişime kapatsın.~Uzman ekip gaz ölçümü ve kaynak kontrolünü yapsın.|Gazın birikebildiği bağlantılı hacimleri kontrol ettirin.~Tank/tüp ve tesisat onarımını yetkin servise yaptırın.|Sızan tüpü taşımayın.~Gaz birikebilecek çukura kontrolsüz girmeyin.|Kaynak giderilmiş ve bağlantılı alçak alanlar uzman ölçümüyle güvenli bulunmuşsa.|LPG_kaynagi~alcak_hacimler~uzak_vana~tahliye_yonu
AD-014|Amonyak envanteri ve sistem acil talimatını hazırlayın.~Rüzgâr bilgisi ve güvenli uzaktan kesme olanaklarını belirleyin.|Alarm veya keskin tahriş halinde gaz bölgesinden uzaklaşın.~Sızıntıyı aramaya veya vanaya yaklaşmaya çalışmayın.~Güvenli yerden 112'ye amonyak ve etkilenen kişi bilgisini verin.|Teknik görevli yalnız tesis planındaki güvenli uzaktan izolasyonu uygulasın.~Olay yöneticisi rüzgâr ve hava emişlerini değerlendirerek güvenli bölgeyi belirlesin.~Uygun solunum korumalı uzman ekip ölçüm ve müdahaleyi yürütürken ilkyardım ekibi temiz alanda desteklesin.|Etkilenenleri tıbbi değerlendirmeye yönlendirin.~Sızıntı kaynağı ve havalandırma sistemini teknik inceleyin.|Koku azaldı diye geri girmeyin.~Filtreli maskenin her konsantrasyonda yeterli olduğunu varsaymayın.|Uzman atmosfer ölçümü, onarım ve olay yöneticisi kararıyla.|amonyak_sistemi~GBF~ruzgar_bilgisi~uzak_izolasyon~temiz_mudahale_yeri
AD-015|Klor ve asit bağlantılarını ayrı tanımlayın.~Dış yardım için kimyasal ve havalandırma şemasını hazırlayın.|Klor alarmında veya tahrişte güvenli alana çekilin.~Alt hacimlere inmeyin ve kaçağı kapatmak için geri dönmeyin.~112'ye klor kaynağı, konum ve olası etkilenenleri bildirin.|Teknik ekip uzaktan güvenli izolasyon imkânını tesis talimatıyla kullansın.~Koruma ekibi komşu hacimleri ve emiş noktalarını güvenli plana göre ayırsın.~Kimyasal müdahale ekibine tüp/hat ve GBF bilgisini verin.|Maruz kalanların tıbbi değerlendirmesini sağlayın.~Uyumsuz kimyasal birleşmesi olup olmadığını uzman inceletin.|Klor bölgesinde korunmasız kurtarma yapmayın.~Asit veya rastgele kimyasalla nötralizasyon denemeyin.|Uzman ölçümü, kaynak kontrolü ve güvenli havalandırma sonrasında.|klor_kaynagi~asit_deposu~hava_emisleri~GBF~tahliye_yolu
AD-016|İnert gaz kullanılan kapalı hacimleri belirleyin.~Oksijen algılama ve girişsiz kurtarma olanaklarını planlayın.|Oksijen alarmında hemen güvenli alana çıkın.~Bayılmış kişiye ulaşmak için gaz bölgesine girmeyin.~Dışarıdan alarm verip konumu ve azot/inert gaz bilgisini iletin.|Yetkili görevli beslemeyi güvenli uzaktan noktadan kessin.~Koruma ekibi odayı ve bağlantılı hacimleri erişime kapatsın.~Uygun solunum donanımlı uzman kurtarma ekibi atmosferi ölçerek müdahale etsin.|Etkilenenleri sağlık ekibine teslim edin.~Kaçak, sensör ve havalandırma nedenlerini inceleyin.|Filtreli maskeyle oksijensiz ortama girmeyin.~Kapının açılmasını tek başına güvenli atmosfer kanıtı saymayın.|Uygun atmosfer ölçümü ve kaynak izolasyonu teyit edilince.|azot_kaynagi~oksijen_sensoru~uzak_vana~giris_siniri
AD-017|CO₂ boşalma alanı ve ön alarmı çalışanlara tanıtın.~Kapı erişimi ve yeniden giriş ölçüm planını hazırlayın.|Ön alarm veya gaz boşalmasında hacmi gecikmeden terk edin.~Başkalarını uyarmak için gaz bölgesine geri girmeyin.~Güvenli noktada sayım ve olay bildirimine katılın.|Yetkili görevli sistemi yalnız üretici acil prosedürüne göre yönetsin.~Koruma ekibi gazın geçebileceği komşu/alçak hacimleri kapatsın.~Uzman ekip gaz ve oksijen koşullarını değerlendirerek kurtarmayı yürütürken ilkyardım ekibi dışarıda hazır bulunsun.|Boşalma nedeni ve sistem arızasını teknik olarak inceleyin.~Gazlı söndürme korumasını ve alarmı kontrollü biçimde geri alın.|Hacme nefes tutarak girmeyin.~Alarm susunca doğrudan geri dönmeyin.|Gaz türüne uygun ölçüm ve yetkili güvenli dönüş kararıyla.|CO2_sistem_turu~bosalma_alani~on_alarm~komsu_hacimler
AD-018|H₂S oluşabilecek proses ve çukurları belirleyin.~Gaz algılama ve özel kurtarma planını hazırlayın.|Gaz alarmında veya ani rahatsızlanmada bölgeyi terk edin.~Koku duyusuna güvenmeyin; yerde yatan kişiye kontrolsüz yaklaşmayın.~Güvenli yerden 112'ye H₂S şüphesi ve kişi konumunu bildirin.|Teknik ekip güvenli uzaktan kaynak kontrolünü uygulasın.~Koruma ekibi çukur ve bağlı hacimleri kapatsın.~Yalnız uygun solunum donanımlı uzman ekip kurtarma ve ölçümü yürütsün.|Etkilenmiş kişileri tıbbi değerlendirmeye alın.~Proses ve havalandırma arızasını giderip algılayıcıları sınayın.|Korunmasız kurtarma girişi yapmayın.~Kokunun kaybolmasını tehlikenin bittiği şeklinde yorumlamayın.|Gaz kaynağı kontrolü ve uygun atmosfer ölçümü tamamlandığında.|H2S_kaynagi~algilayici~uzak_izolasyon~kurtarma_plani
AD-019|Yanmalı cihaz, jeneratör ve kapalı araç kullanımını envantere alın.~CO algılama ve güvenli temiz hava alanını belirleyin.|CO alarmında veya aynı alanda birden fazla rahatsızlanmada dışarı çıkın.~Kapalı alana kişiyi kurtarmak için geri girmeyin.~112'ye CO şüphesi, kaynak ve etkilenen sayısını bildirin.|Teknik görevli yanma kaynağını yalnız güvenli dış noktadan durdursun.~İlkyardım ekibi temiz alanda eğitimine ve 112 yönlendirmesine göre desteklesin.~Uzman ekip gaz ölçümü ve havalandırmayı değerlendirip diğer hacimlere erişimi kontrol etsin.|Etkilenenleri belirtiler azalsa da sağlık değerlendirmesine yönlendirin.~Yanma, baca ve havalandırma kusurlarını teknik ekibe giderin.|Kokusuz olduğu için güvenli saymayın.~Pencere açıldı diye cihazı yeniden çalıştırmayın.|Kaynak onarımı ve uzman CO ölçümü sonrası.|yanmali_kaynak~CO_sensoru~temiz_hava_alani~guvenli_durdurma
AD-020|Kriyojen türünü, tahliye ve oksijen alarmını kaydedin.~Döküntü alanı ve havalandırma sınırını belirleyin.|Döküntüden ve buhar bulutundan uzaklaşın.~Sıvıya veya aşırı soğuk yüzeye dokunmayın.~Oksijen alarmı varsa bağlantılı hacmi de terk ederek durumu bildirin.|Eğitimli teknik görevli güvenli uzaktan beslemeyi durdursun.~Olay yöneticisi oksijen azalması ve malzeme kırılganlığına göre erişimi kapatsın.~Uzman ekip uygun koruma ve atmosfer ölçümüyle durumu kontrol etsin.|Soğuk temas yaralanmasını tıbbi değerlendirmeye yönlendirin.~Tahliye ve transfer ekipmanını hasar açısından inceleyin.|Sıvıyı kapalı kaba hapsetmeyin.~Bulutu sıradan su buharı kabul etmeyin.|Atmosfer ve transfer sistemi uzman kontrolünde güvenli bulunduğunda.|kriyojen_turu~transfer_vanasi~oksijen_sensoru~havalandirma
AD-021|GBF ve maddeye uygun döküntü kitini belirleyin.~Küçük salım için miktar, alan ve eğitim sınırını tanımlayın.|Döküntüye dokunmadan çevredekileri uyarın.~Kaygan ve buharlı alanı güvenli mesafeden ayırın.~Madde veya miktar belirsizse küçük döküntü işlemini bırakıp uzman salım kartına geçin.|Eğitimli ekip yalnız tanımlı sınırda, GBF'ye uygun koruyucuyla müdahale etsin.~Güvenliyse kaynağı durdurup uyumlu emiciyle yayılımı sınırlasın.~Toplanan atığı uyumlu etiketli kaba alsın; drenaja ulaşma riskini çevre sorumlusuna bildirsin.|Alanı kalıntı ve kayma açısından kontrol edin.~Kit stokunu tamamlayıp olay nedenini kaydedin.|Bilinmeyen maddeye nötralizasyon uygulamayın.~Döküntüyü suyla kanalizasyona yıkamayın.|Maddeye özgü temizlik kontrolü tamamlanıp maruziyet riski kalmadığı değerlendirildiğinde.|GBF~kucuk_salim_siniri~uyumlu_kit~atik_kabi~drenaj
AD-022|Kimyasal envanter ve dış uzman irtibatını hazırlayın.~Büyük salımda güvenli toplanma alternatiflerini belirleyin.|Maddeyi tanımak için yaklaşmayın veya koklamayın.~Buhar ve yayılım yönünden uzak güvenli alana çıkın.~112'ye bilinmeyen/büyük kimyasal salım olduğunu ve konumu bildirin.|Olay yöneticisi yayılım ve rüzgâra göre çevreyi kapatsın.~Teknik ekip yalnız güvenli uzaktan izolasyonu uygulasın.~Kimyasal müdahale ekibine envanter, GBF, drenaj ve etkilenen kişi bilgisini teslim edin.|Maruziyet şüphesi olanları sağlık değerlendirmesine yönlendirin.~Temizlik ve atığı uzman planıyla yönetin.|Sıradan maske ve temizlik beziyle müdahale etmeyin.~Tehlikeli bölgeye vana kapatmak için personel göndermeyin.|Uzman salım kontrolü, ölçüm ve temizleme kararı sonrası.|kimyasal_envanter~GBF~ruzgar~drenaj~dis_uzman_irtibat
AD-023|Kimyasala uygun göz yıkama/duş yerlerini tanıyın.~GBF ilk yardım bölümünü erişilebilir tutun.|Teması durdurup kendinizi yeniden maruz bırakmadan yardım çağırın.~Maddeye özgü GBF ve acil sağlık yönlendirmesine göre uygun göz yıkama/duşu kullanın.~İlkyardımcıyı çağırın; ciddi temas veya göz etkilenmesinde 112'ye kimyasal adını iletin.|İlkyardım ekibi ikincil bulaşmayı önleyerek eğitim ve GBF sınırında destek versin.~Görevli kirlenen alanı ve giysiyi güvenli biçimde ayırsın.~Kimyasal etiketi/GBF bilgisini sağlık ekibine taşıyın; yaralıyı tek başına göndermeyin.|Tıbbi yönlendirme ve maruziyet kaydını oluşturun.~Sıçramanın nedeni ve duş/göz yıkama erişimini düzeltin.|Göze veya cilde gelişigüzel nötralizan sürmeyin.~Bilinmeyen kimyasal için tek tip müdahale reçetesi uygulamayın.|Salım temizlenip alan uygun bulunduğunda; kişinin işe dönüşünü sağlık değerlendirmesi belirler.|kimyasal_adi~GBF_ilkyardim~goz_yikama~acil_dus~ilkyardimci
AD-024|Prosesin onaylı sapma ve acil duruş talimatını hazırlayın.~Bağımsız koruma ve uzaktan duruş noktalarını tanımlayın.|Anormal sıcaklık/basınç alarmını kontrol odasına bildirin.~Reaktör çevresinden güvenli alana çekilin.~Kapak açma, madde ekleme veya doğaçlama soğutma yapmayın.|Yetkili operatör yalnız prosese özgü onaylı acil duruş sırasını uygulasın.~Olay yöneticisi salım ve patlama etkisine göre tahliyeyi başlatsın.~Proses uzmanı ve dış yardım ekibine madde, miktar ve son ölçümleri iletin.|Tepkime kararlılığı ve artık enerji uzman incelemesine alınsın.~Yeniden başlatma öncesi kök neden ve güvenlik işlevlerini kontrol edin.|Bilinmeyen reaksiyona su veya başka kimyasal eklemeyin.~Tüm enerjiyi plansız keserek soğutma ve korumayı devre dışı bırakmayın.|Proses uzmanının kararlılık, basınç ve koruma sistemi değerlendirmesiyle.|reaktor_kodu~acil_durus_talimati~proses_uzmani~son_olcumler
AD-025|Dökülme etki alanını ve kuru güvenli kaçış yolunu belirleyin.~Pota/fırın acil duruş ve dış yardım bilgisini hazırlayın.|Sıcak metalden ve sıçrama alanından uzaklaşın.~Su birikimi bulunan yola veya döküntü üzerine girmeyin.~Çevredekileri uyarıp yanık/eksik kişi bilgisini bildirin.|Teknik görevli yalnız güvenli uzaktan besleme ve hareketi durdursun.~Koruma ekibi dökülme ve ikincil sıçrama alanını kapatsın.~İlkyardım ekibi güvenli alanda yaralıya eğitim sınırında destek versin ve 112'yi yönlendirsin.|Katılaşmış görünümlü metalin sıcaklığını uzman değerlendirsin.~Fırın, pota, zemin ve su kaynaklarını inceleyin.|Sıcak metale su dökmeyin.~Döküntüyü elle veya uygunluğu belirsiz araçla toplamaya çalışmayın.|Sıcaklık ve ekipman/yapı durumu teknik yetkili tarafından güvenli bulunduğunda.|dokulme_alani~kuru_kacis~uzak_durdurma~pota_firin_bilgisi
AD-026|Cam fırınına özgü kaçak talimatını hazırlayın.~Sıcak camın akabileceği tutma alanını açık tutun.|Kaçağı yerini belirterek kontrol odasına bildirin.~Sıcak camın akış hattından ve fırın yanından uzaklaşın.~Alt ve komşu alanlardaki kişileri uyarın.|Fırın yetkilisi yalnız onaylı proses duruş/izolasyon sırasını uygulasın.~Koruma ekibi akış ve yapı etkisine göre alanı kapatsın.~Dış yardım ekibine refrakter, sıcaklık ve proses bilgisi verin.|Fırın ve taşıyıcı yapı hasarını teknik uzman değerlendirsin.~Kaçak nedeni çözülmeden ve güvenli yeniden başlatma planı olmadan üretime dönmeyin.|Kaçağa yaklaşarak doğaçlama tıkama yapmayın.~Üretici/proses planı dışında su verme veya ani soğutma uygulamayın.|Fırın/proses ve yapı uzmanlarının ortak kararıyla.|firin_kodu~kacak_talimati~sicak_cam_tutma_alani~kontrol_odasi
AD-027|Buhar hatlarını ve güvenli vana noktalarını belirleyin.~Hat kırılmasında alternatif çıkışı hazırlayın.|Yoğun buhar ve yüksek ses kaynağından uzaklaşın.~Kaçağa elinizle veya bir nesneyle temas etmeyin.~Görüş kayboluyorsa alternatif güvenli çıkışı kullanıp yaralı bilgisini bildirin.|Yetkili teknik görevli hattı uzak güvenli noktadan izole etsin.~Koruma ekibi sıcak ve görüşsüz alanı ayırsın.~İlkyardım ekibi temiz alanda yanık desteği ve sağlık yönlendirmesi sağlasın.|Hattı basınçsız ve soğuk koşulda yetkin kişiye inceletin.~Onarım sonrası basınçlandırmayı kontrollü teknik plana göre yapın.|Görünür bulutun dışında kalan sıcak jeti güvenli saymayın.~Basınç varken bağlantı sıkma veya sökme yapmayın.|Basınç/sıcaklık ve hat bütünlüğü teknik olarak güvenli bulununca.|hat_kodu~uzak_vana~alternatif_cikis~yanik_ilkyardimci
AD-028|Kabın çalışma sınırlarını ve emniyet tahliyesini kaydedin.~Anormal basınçta uzaktan güvenli duruşu planlayın.|Şişme, çatlak veya alarmı bildirip kaptan uzaklaşın.~Kapak, vana veya bağlantıya yaklaşmayın.~Parça fırlama hattının dışında toplanın ve kişi bilgisini iletin.|Yetkili operatör onaylı acil duruşu güvenli noktadan uygulasın.~Koruma ekibi kap ve bağlı hatların etki alanını kapatsın.~Basınçlı ekipman uzmanı ve acil ekip durumu değerlendirsin.|Kap ve emniyet donanımını hizmet dışı tutun.~Yetkin muayene ve gerekli onarım olmadan tekrar basınçlandırmayın.|Basıncı gelişigüzel bağlantı gevşeterek boşaltmayın.~Tahliye ağzının önüne geçmeyin.|Yetkin basınçlı ekipman incelemesi ve kontrollü yeniden devreye alma kararıyla.|kap_kodu~akiskan~tasarim_siniri~uzak_durus~tahliye_yonu
