# id|family|baglam|olasi_olay|olasi_sonuc|sorumlu|seviye1|onlem1|seviye2|onlem2
R-51-11|G51|İş elbisesi değiştirme ve temiz-kirli giysi ayrımı gereken işler|Kirli iş giysisinden kişisel giysiye veya temiz alana tehlikeli madde taşınması|Cilt maruziyeti, enfeksiyon ve eve taşınan kirlenme|İşyeri hijyen ve idari işler sorumlusu|engineering|İşin kirletici özelliğine uygun ayrı giysi saklama ve soyunma alanı sağlayın.|administrative|Kirli iş elbisesinin yıkama ve taşımasını tanımlayın; çalışanı kirli giysiyle yemek alanına veya eve dönmeye zorlayan düzeni değiştirin.
R-51-12|G51|İşyerinde mevcut OED/AED cihazı|Kalp durması şüphesinde mevcut cihazın bulunamaması veya kullanıma hazır olmaması|Hayat kurtarıcı müdahalenin gecikmesi ve ölüm|İlkyardım organizasyonu sorumlusu|engineering|Mevcut cihazın yerini görünür işaretleyin; cihazı erişilebilir ve üretici koşullarına uygun tutun.|administrative|Batarya, ped ve cihaz durumunu üretici talimatıyla izleyin; görevli eğitimini planlayın ve cihazın bulunmadığı işyerine varmış gibi konum yazmayın.
R-52-01|G52|Motosikletli teslimatta süre/adet hedefleri|Teslim süresi baskısıyla güvenli sürüş kararının bozulması|Trafik çarpışması, çoklu yaralanma ve ölüm|Kurye operasyon sorumlusu|elimination|Tehlikeli hızlanmayı veya kırmızı ışık ihlalini ödüllendiren teslim hedefini kaldırın.|administrative|Gecikme ve güvenli durma bildirimini cezalandırmayan plan kurun; hava, güzergâh ve mola ihtiyacını teslim tahminine dahil edin.
R-52-02|G52|Motosiklet üzerinde navigasyon ve iş bildirimi|Sürüş sırasında telefona bakma veya bildirim yanıtlamayla dikkatin dağılması|Araçla veya yayayla çarpışma, ağır yaralanma ve ölüm|Filo ve dijital operasyon sorumlusu|engineering|Cihaz bağlantısını görüş ve kumandaları engellemeyen güvenli düzende kurun; hareket sırasında elle işlem gerektirmeyen akış tasarlayın.|administrative|Adres değişikliği ve mesaj yanıtını güvenli park sonrasına bırakın; görev uygulamasını sürüş sırasında cevap vermeyi zorunlu kılmayacak biçimde yönetin.
R-52-03|G52|Teslimat motosikletinde yük kutusu ve taşıma düzeni|Dengesiz veya gevşek yükün sürüş dengesini bozması|Devrilme, çarpışma ve ezilme|Filo bakım ve kurye operasyon sorumlusu|engineering|Taşıma kutusunu üretici sınırına uygun sabitleyin; yükü ağırlık merkezi ve kapasite sınırları içinde dengeleyin.|administrative|Yükleme sonrasında kapak, bağlantı ve çıkıntı kontrolü yapın; uygunsuz yükü bölerek veya uygun araçla taşıyın.
R-52-04|G52|Yağmur, buz, rüzgâr ve düşük görüşte teslimat|Yol tutuşu veya görünürlüğün güvenli sürüş için yetersiz kalması|Kayma, devrilme, çarpışma ve ölüm|Kurye operasyon sorumlusu|elimination|Güvenli sürüşün sürdürülemediği hava/yol koşulunda teslimatı erteleyin veya güvenli alternatif kullanın.|administrative|Durma kararını sürücünün bildirebildiği açık protokole bağlayın; lastik, aydınlatma ve görüş donanımını kontrol edin.
R-52-05|G52|Uzun kurye vardiyası ve tekrarlı sürüş|Yorgunluk ve sıvı kaybıyla sürüş dikkatinin azalması|Çarpışma, kas-iskelet zorlanması ve ısı hastalığı|Vardiya planlama sorumlusu|administrative|Sürüş, bekleme ve teslimatın tamamını iş yükünde dikkate alın; erişilebilir mola ve içme suyu planlayın.|administrative|Yorgunluk bildiriminden sonra görevi güvenli durdurma/devir düzeni sağlayın; yalnız teslim adedini performans ölçütü yapmayın.
R-52-06|G52|Kaldırım, yol kenarı ve bina önünde teslimat|Güvenli park veya iniş-biniş alanı bulunamaması|Araç çarpması, düşme ve ezilme|Dağıtım operasyon sorumlusu|engineering|Teslim noktaları için güvenli durma ve yaya erişim düzeni belirleyin; aktif trafik şeridinde beklemeyi gerektiren teslim kuralını değiştirin.|administrative|Motoru güvenli sabitlemeden yük alıp vermeyin; kavşak, kapı açılımı ve yayaların akışını teslim noktasında birlikte değerlendirin.
R-52-07|G52|Müşteriyle temas ve gece teslimatı|Saldırı, tehdit veya yalnız çalışmada yardımın gecikmesi|Fiziksel yaralanma ve ruhsal etkilenme|Kurye operasyon ve güvenlik sorumlusu|administrative|Tehlikeli teslimatı sonlandırma ve güvenli noktaya çekilme hakkını açıklaştırın; konum paylaşımını amaçla sınırlı ve erişim kontrollü tasarlayın.|administrative|Göreve uygun acil iletişim ve cevapsız kalma düzeni kurun; olay sonrası destek sağlayın ve çalışanı saldırganla yüzleşmeye yönlendirmeyin.
R-52-08|G52|Motosiklet ve sürücü koruyucu donanımı|Fren, lastik, aydınlatma kusuru veya uygunsuz koruyucuyla sürüş|Baş travması, uzuv yaralanması ve ölüm|Filo bakım sorumlusu|engineering|Fren, lastik ve aydınlatma kusurlu motosikleti hizmetten çekin; bakım ve işe başlama kontrollerini kayıtlayın.|ppe|Uygun beden ve kullanım koşulunda motosiklet kaskı ile göreve uygun koruyucu donanımı sağlayın; bunları güvenli araç ve iş planının yerine koymayın.

R-23-13|G23|Sıcak ortamda veya açık sahada çalışma|Isı yükü ve sıvı kaybının çalışanı etkilemesi|Isı bitkinliği, sıcak çarpması ve bilinç kaybı|İşveren ve bölüm sorumlusu|engineering|Gölgelik veya serin dinlenme alanı sağlayın; ısı kaynağını yalıtın ve uygun havalandırma kurun.|administrative|İş ve dinlenme sürelerini ısı yüküne göre düzenleyin; içme suyuna erişim, kademeli alışma ve belirtilerin erken bildirimini sağlayın.
