# id|olasi_sonuc|ilk_onlem_seviyesi|ikinci_onlem_seviyesi|ikinci_onlem
R-06-08|Seviye geçişinde düşme ve baş yaralanması|engineering|administrative|Geçişte iki elin kullanılmasını sağlayın; elde taşınan malzeme için ayrı aktarma yöntemi kurun.
R-06-09|Sepet ile yapı arasında ezilme ve ölüm|engineering|administrative|Yerden acil indirmeyi bilen ikinci kişiyi görevlendirin; üst engelleri manevradan önce işaretleyin.
R-06-10|Platform devrilmesi ve ölüm|administrative|engineering|Ayak ve teker yüküne göre zemin desteği sağlayın; dolgu ve yeraltı boşluğu üzerine kurulum yapmayın.
R-06-11|Sepetten geçiş sırasında düşme ve ölüm|administrative|engineering|İş noktasına erişimi platform içinde kalacak şekilde tasarlayın; korkuluk üzerine çıkmayı önleyin.
R-06-12|Asma platform düşmesi ve çoklu ölüm|engineering|administrative|Askı ankrajı ve güvenlik tertibatını kullanım öncesi denetleyin; arızayı cihaz üzerindeyken doğaçlama gidermeyin.
R-07-01|Yük düşmesiyle ezilme ve ölüm|engineering|administrative|Sapanın kimliğini ve kontrol durumunu kaldırmadan önce okuyun; keskin kenarlar için uygun koruyucu kullanın.
R-07-02|Sapan kopması, yük düşmesi ve ölüm|administrative|engineering|Düşük açı gerektiren bağlamada uygun travers kullanın; etiketteki kapasiteyi bütün açılar için geçerli saymayın.
R-07-03|Dengesiz yükle ezilme ve ölüm|administrative|engineering|Bağlama noktalarını yük geometrisine uygun seçin; yük dönmesini güvenli mesafeden kontrol edin.
R-07-04|Vinç devrilmesi ve çoklu ağır yaralanma|administrative|administrative|Kaldırma yarıçapı değiştiğinde planı yeniden değerlendirin; yük moment sınırlayıcısını devre dışı bırakmayın.
R-07-05|Zemin oturmasıyla vinç devrilmesi ve ölüm|engineering|administrative|Yeraltı tesisatı ve dolgu bilgisini kurulum iznine ekleyin; operasyon sırasında ayak oturmasını izleyin.
R-07-06|Salınan yük ile yapı arasında ezilme|engineering|administrative|Yükü elle tutarak bedenle durdurmayın; yönlendirme halatını dolanma yaratmayacak güvenli noktadan kullanın.
R-07-07|Yük paylaşımı kaybıyla vinç çökmesi|administrative|administrative|Tandem kaldırmada tek komuta ve eşzamanlı durdurma düzeni kurun; operatörleri plan üzerinde birlikte bilgilendirin.
R-07-08|Vakumlu levha düşmesiyle kesilme ve ezilme|engineering|administrative|Levha yüzeyi, sızdırmazlık ve vakum göstergesini her kaldırmada kontrol edin; alarmda yükü güvenli yere indirin.
R-07-09|Manyetik yükün düşmesiyle ezilme ve ölüm|engineering|administrative|Malzeme türü, kalınlık, yüzey ve sıcaklığın tutma kapasitesine etkisini üretici verisiyle kontrol edin.
R-07-10|Bağlantı kopmasıyla yük düşmesi|administrative|engineering|Kaldırma kulağına uygun bağlantı elemanı kullanın; yan yük ve uygunsuz kaynak tadilatından kaçının.
R-07-11|Yük çarpmasıyla ezilme, kırık ve ölüm|administrative|administrative|Haberleşme kesildiğinde kaldırmayı durdurun; işaretçi değişimini operatöre açıkça bildirin.
R-07-12|Yükün savrulması veya vincin devrilmesiyle ezilme ve ölüm|administrative|administrative|Geniş yüzeyli levhanın rüzgâr yükünü planlayın; genel vinç rüzgâr sınırını otomatik yeterli saymayın.
R-08-01|Forklift çarpması, ezilme ve ölüm|engineering|administrative|Kavşak görüşünü yük ve istifle kapatmayın; yaya geçiş önceliğini saha talimatında netleştirin.
R-08-02|Forklift devrilmesiyle ezilme ve ölüm|engineering|administrative|Operatörün üreticiye uygun tutucu sistemi kullanmasını sağlayın; eğimde dönüşü ve yüksek yükle seyri önleyin.
R-08-03|Çatallardan düşen yükle ezilme|engineering|administrative|Hasarlı paleti ve uygunsuz ataşmanı ayırın; yükün görüşü kapattığı durumda güvenli alternatif taşıma planlayın.
R-08-04|Çatallardan düşme ve ölüm|substitution|administrative|Çatal veya palet üzerinde insan taşımayı yasaklayın; yükseğe erişim işini uygun platformla planlayın.
R-08-05|Geri manevrada yaya ezilmesi|engineering|administrative|Uyarı lambası veya kamera bulunduğu için fiziksel ayrımı kaldırmayın; görünmeyen alanı boşaltmadan hareket etmeyin.
R-08-06|Rampa kenarından düşme ve ölüm|engineering|administrative|Rampa açıklığını araç yokken kapalı tutun; yanaşma tamamlanmadan yükleme başlatmayın.
R-08-07|Dorse ayrılmasıyla forklift düşmesi|engineering|administrative|Yükleme bitti bilgisini sürücüye tek yetkili versin; araç sabitlemesi çözülmeden rampa bağlantısını kapatın.
R-08-08|Hidrojen patlaması, yanık ve göz hasarı|engineering|administrative|Şarj tipini akü kimyasıyla eşleştirin; kıvılcım üreten bakım ve sigarayı şarj alanından uzak tutun.
R-08-09|CO zehirlenmesi, bilinç kaybı ve ölüm|substitution|administrative|İçten yanmalı forkliftin kapalı alana uygunluğunu ölçümle değerlendirin; motor bakımı havalandırmanın yerine geçmez.
R-08-10|Ayak ezilmesi ve ayak bileği yaralanması|engineering|administrative|Transpaleti dar dönüşte bedenden uzak yönlendirin; yüklü aracı eğimde kontrolsüz bırakmayın.
R-08-11|Raf çökmesiyle yük altında kalma, ağır ezilme ve ölüm|engineering|administrative|Raf çarpmasını derhal bildirip etkilenen bölmeyi ayırın; gözle küçük görünen hasarı göz ardı etmeyin.
R-08-12|Otonom araç çarpması ve sıkışma|engineering|administrative|Yerleşim değişikliğinde koruma alanı ve sensör algılamasını test edin; geçici engelleri rota yönetimine bildirin.
R-09-01|Araç-yaya çarpışması ve ölüm|engineering|administrative|Manevra alanında görevli olmayan kişileri uzak tutun; işaretçiyi sürücünün sürekli görebileceği konumda görevlendirin.
R-09-02|Trafik kazası, çoklu yaralanma ve ölüm|administrative|administrative|Teslim hedeflerini dinlenme ihtiyacına göre düzenleyin; uykululuk bildiren sürücüyü cezalandırmadan seferi durdurun.
R-09-03|Trafik kazası sonucu kırık, kafa travması ve ölüm|administrative|engineering|Navigasyon ve telefon ayarlarını araç dururken yapın; hareket halinde uygulama etkileşimini sınırlandırın.
R-09-04|Yük kayması, araç devrilmesi ve ezilme|administrative|administrative|Bağlama donanımının kapasitesini ve yük dağılımını hareketten önce kontrol edin; gerekli ara kontrolleri planlayın.
R-09-05|Kontrolsüz araç hareketiyle ezilme|engineering|administrative|Sürücü araçtan ayrılmadan park frenini ve eğimi değerlendirsin; yükleme personeliyle park durumunu teyit etsin.
R-09-06|Yol kenarında araç çarpması ve ölüm|engineering|administrative|İşe başlamadan trafik işaretleme planını kurun; çalışanlara güvenli kaçış alanı bırakın.
R-09-07|Motosiklet düşmesi, baş travması ve ölüm|administrative|ppe|Uygun kask, görünürlük ve koruyucu sürüş donanımı sağlayın; yağışta süre baskısını kaldırın.
R-09-08|Araçtan düşme, burkulma ve kırık|engineering|administrative|Kabin veya kasadan atlamayın; basamakları yağ ve çamurdan temizleyin, üç temas noktasını koruyun.
R-09-09|Araç altında ezilme ve ölüm|engineering|administrative|Aracı üreticinin destek noktalarından taşıyın; hidrolik krikoyu tek başına kalıcı destek kabul etmeyin.
R-09-10|Hortum kopması, kimyasal salım ve yaralanma|engineering|administrative|Transfer tamamlanması, hortum ayrılması ve körleme adımlarını sürüş izninden önce kontrol edin.
R-09-11|Kayma kaynaklı çarpışma ve ölüm|administrative|administrative|Görüş, buzlanma ve yol kapanmasını sefer öncesi değerlendirin; güvenli duruş alanı ve erteleme yetkisi tanımlayın.
R-09-12|Müşteriyle çarpışma ve düşme|engineering|administrative|Yükü taşıyıcının görüşünü kapatmayacak biçimde yerleştirin; yoğun müşteri akışında teslimatı durdurun.
R-10-01|Raf çökmesiyle ezilme ve ölüm|engineering|administrative|Hasarı raf konumu ve fotoğrafıyla kaydedin; tamir kabulü olmadan bölmeyi yeniden yüklemeyin.
R-10-02|Raf çökmesi ve ağır yaralanma|administrative|engineering|Raf kapasite levhasını mevcut konfigürasyonla eşleştirin; kiriş seviyesi değiştiğinde taşıma hesabını yenileyin.
R-10-03|Ürün düşmesiyle ezilme ve kesilme|administrative|administrative|Palet tipini raf ve yükle uyumlu seçin; kırık paleti onaylı onarım veya atık alanına alın.
R-10-04|İstif devrilmesi ve ezilme|engineering|administrative|İstif altından veya ortasından malzeme çekmeyin; ambalaj açılınca dengeyi yeniden değerlendirin.
R-10-05|Yuvarlanan ruloyla ezilme|engineering|administrative|Rulo alma sırasını belirleyin; takozları yük güvenceye alınmadan sökmeyin ve eğimli zeminde depolamayın.
R-10-06|Levha kapanmasıyla ezilme, kesilme ve ölüm|engineering|administrative|Levha paketine vücudu dayayarak denge sağlamayın; ayırma sırasında kalan levhaları bağımsız tutun.
R-10-07|Çuval yığını altında kalmaya bağlı ezilme ve boğulma|administrative|engineering|Yığın düzenini ambalaj sürtünmesi ve zemine göre belirleyin; hasarlı çuvalları istifin taşıyıcı katında kullanmayın.
R-10-08|Rampa dengeleyici altında ezilme|engineering|administrative|Bakım desteğini yerine oturtmadan platform altına girmeyin; hidrolik basıncı destek yerine kullanmayın.
R-10-09|Düşen yükün çarpmasıyla ezilme ve kırık|engineering|administrative|Kapı açma alanını boşaltın; kapı arkasındaki yükün kararlılığını güvenli konumdan değerlendirin.
R-10-10|Asma kattan malzeme düşmesi ve baş yaralanması|engineering|administrative|Palet kapısını açmadan karşı korumayı kapatın; kenarda geçici istife izin vermeyin.
R-10-11|Gergin çember çarpması ve göz yaralanması|administrative|ppe|Gergin çemberi uygun kesiciyle yan konumdan kesin; göz koruması kullanın ve çevreyi boşaltın.
R-10-12|Soğukta mahsur kalma, hipotermi ve ölüm|engineering|administrative|İç açma kolunu ve alarmı vardiya başında deneyin; yalnız girişler için süreli haberleşme düzeni kurun.
R-11-01|Ezilme, uzuv kaybı ve ölüm|engineering|administrative|İzolasyon sonrasında güvenli deneme ve enerji yokluğu kontrolü yapın; kumanda düğmesini enerji ayırıcı yerine kullanmayın.
R-11-02|Ezilme ve basınçlı sıvı yaralanması|engineering|administrative|Akümülatörleri enerji listesine ekleyin; basınç göstergesinin sıfır olmasıyla yetinmeden üretici boşaltma yöntemini uygulayın.
R-11-03|Sıkışma ve uzuv yaralanması|engineering|engineering|Hapsedilmiş hava hacimlerini de tahliye edebilen kilitlenebilir ayırıcı kullanın; silindir yükünü ayrıca destekleyin.
R-11-04|Ağır ezilme ve ölüm|engineering|administrative|Dayamanın yük kapasitesini doğrulayın; yalnız hidrolik kriko veya askı sistemine güvenerek altına girmeyin.
R-11-05|Göz yaralanması, kırık ve delici travma|engineering|administrative|Söküm sırasını ve yay yönünü iş öncesi belirleyin; üreticinin sıkıştırma aparatını ve dışlama alanını kullanın.
R-11-06|Elektrik çarpması, yanık ve ölüm|engineering|administrative|UPS, jeneratör, geri besleme ve kontrol beslemelerini izolasyon çiziminde gösterin; her kaynakta enerji yokluğunu kontrol edin.
R-11-07|Beklenmedik hareket nedeniyle ezilme ve ölüm|engineering|administrative|Her çalışanın kendi kilidini takıp kaldırmasını sağlayın; istisnai kilit kaldırma işlemini yazılı ve kişiye erişim kontrollü yönetin.
R-11-08|Yeniden enerjilendirmede ezilme ve ölüm|administrative|engineering|Vardiya tesliminde kilit koruması kesilmesin; grup kilit kutusunda eski ve yeni ekip bağlantısını eşzamanlı güvenceye alın.
R-11-09|Çakışan çalışmalarda elektrik çarpması ve ezilme|administrative|administrative|İşletme ve yüklenici sorumluları izolasyon sınırını aynı şema üzerinde mutabık kılsın; iş izinlerini bu sınıra bağlayın.
R-11-10|Test sırasında beklenmedik hareketle ağır yaralanma|administrative|engineering|Testte yalnız gerekli enerji devresini etkinleştirin; erişim bariyerlerini koruyun ve teste dönüşte kişisel kilitleri yeniden uygulayın.
R-11-11|Elektrik çarpması, yanık ve ölüm|engineering|administrative|Ölçü aletini kullanım öncesi ve sonrası bilinen kaynakta sınayın; yanlış etiket ve kablo eşleşmesini teknik kayıtla düzeltin.
R-11-12|Fırlayan parçaya bağlı baş, göz ve gövde yaralanması|administrative|engineering|Koruyucu ve bağlantıları yerine almadan deneme yapmayın; ilk çalıştırmada kişileri fırlama hattının dışına çıkarın.
R-12-01|Oksijensiz kalma, beyin hasarı ve ölüm|elimination|administrative|Giriş izninde atmosfer, kesintisiz gözcü ve kurtarma düzenini birlikte değerlendirin; filtreli maskeyi oksijen desteği sanmayın.
R-12-02|Boğulma ve ölüm|engineering|administrative|Azot ve diğer inert besleme yollarını fiziksel olarak ayırın; havalandırma kesilirse giriş koşullarını yeniden değerlendirin.
R-12-03|Akut zehirlenme, bilinç kaybı ve ölüm|elimination|administrative|Koku duyusunu uyarı aracı kabul etmeyin; uygun kişisel algılayıcı alarmında alanı terk edecek iş kuralı oluşturun.
R-12-04|Patlama, ağır yanık ve ölüm|engineering|administrative|Atmosfer ölçümünü iş boyunca değişebilecek katman ve noktalarda sürdürün; sıcak iş iznini kapalı alan izniyle ilişkilendirin.
R-12-05|Dökme malzemede gömülme, ezilme ve ölüm|elimination|engineering|Boşaltma ve besleme donanımlarını kilitleyin; malzeme köprüsü üstünde yürümeyi fiziksel erişim engeliyle önleyin.
R-12-06|Boğulma, kimyasal yanık ve ölüm|engineering|administrative|Bağlı hatları şemayla izleyin; tek vanaya güvenmek yerine akışkana uygun körleme veya fiziksel ayırma yöntemini seçin.
R-12-07|Uzuv kaybı, ezilme ve ölüm|engineering|administrative|Karıştırıcı kanatlarının durduğunu ve depolanmış enerjinin giderildiğini giriş öncesi kontrol edin; dışarıdan kumanda verilmesini engelleyin.
R-12-08|Isı hastalığı, bilinç kaybı ve ölüm|engineering|administrative|Tankın soğuma süresini sıcaklık ölçümüyle belirleyin; dinlenme ve dışarı çıkma koşullarını erişilebilir haberleşmeyle destekleyin.
R-12-09|Yaralının çıkarılamamasına bağlı ağırlaşma ve ölüm|engineering|administrative|Kurtarma ekipmanının açıklıktan geçişini temsilî ağırlıkla değerlendirin; mevcut erişim uygun değilse işi dışarıdan yapacak yöntem seçin.
R-12-10|Geciken müdahaleye bağlı kalıcı hasar ve ölüm|administrative|engineering|Haberleşme kesintisinde otomatik geri çekilme kuralı tanımlayın; gözcüyü başka görevle alan başından ayırmayın.
R-12-11|İkincil kurtarıcı kaybı ve çoklu ölüm|administrative|engineering|Uygun koşullarda girişsiz kurtarma imkânı kurun; solunum korumasız girişe karşı alanı emniyete alın.
R-12-12|Fark edilmeyen atmosfer tehlikesiyle zehirlenme ve ölüm|engineering|administrative|Cihazın hedef gazlara uygunluğunu ve kullanım öncesi işlev kontrolünü kaydedin; sensör çapraz duyarlılığını teknik dokümandan değerlendirin.
R-13-01|Göçük altında kalma, boğulma ve ölüm|engineering|administrative|Yağış, titreşim veya zemin değişikliğinden sonra destek sistemini yetkin kişiye kontrol ettirin; uygun bulunmadan girişi açmayın.
R-13-02|Malzeme altında kalma ve ağır ezilme|engineering|administrative|Hafriyat yığınlarını plan üzerinde gösterin; kenarda geçici malzeme ve araç birikimini vardiya kontrolüne dahil edin.
R-13-03|Araçla birlikte göçüğe düşme ve ölüm|engineering|administrative|Manevra yönünü kazıdan uzaklaştırın; yaklaşma sınırını zemin taşıma koşullarına göre teknik sorumlu belirlesin.
R-13-04|Boğulma, sürüklenme ve ölüm|engineering|administrative|Hava durumu ve upstream su faaliyetlerini izleyin; tahliye yolunun pompaya veya tek enerji kaynağına bağımlı olmamasını sağlayın.
R-13-05|Zehirlenme, boğulma ve patlama|administrative|engineering|Gaz kaynağı olabilecek kanal ve hatları izole edin; ölçüm sonucuna uygun havalandırma ve erişim kontrolü kurun.
R-13-06|Basınçlı akışkan yaralanması, yangın ve ölüm|engineering|administrative|Hat yakınında makineyle kazı sınırını işletmeciyle belirleyin; bilinmeyen hat görüldüğünde çalışmayı durdurma yetkisini ekibe bildirin.
